htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0130,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,48,72,CE
15NG1A0130,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,49,73,CE
15NG1A0130,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0131,1-2 SEM,R13201,ENGLISH-II,25,34,59,CE
15NG1A0131,1-2 SEM,R13202,MATHEMATICS-III,23,26,49,CE
15NG1A0131,1-2 SEM,R13203,ENGG. PHYSICS,20,10,30,CE
15NG1A0131,1-2 SEM,R13207,MATHEMATICS-II (MM),18,32,50,CE
15NG1A0131,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,6,28,CE
15NG1A0131,1-2 SEM,R13209,ENGG. DRAWING,24,5,29,CE
15NG1A0131,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,48,72,CE
15NG1A0131,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,48,72,CE
15NG1A0131,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0132,1-2 SEM,R13201,ENGLISH-II,19,27,46,CE
15NG1A0132,1-2 SEM,R13202,MATHEMATICS-III,8,1,9,CE
15NG1A0132,1-2 SEM,R13203,ENGG. PHYSICS,16,0,16,CE
15NG1A0132,1-2 SEM,R13207,MATHEMATICS-II (MM),15,8,23,CE
15NG1A0132,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,19,16,35,CE
15NG1A0132,1-2 SEM,R13209,ENGG. DRAWING,22,10,32,CE
15NG1A0132,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,45,69,CE
15NG1A0132,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,22,43,65,CE
15NG1A0132,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0133,1-2 SEM,R13201,ENGLISH-II,24,50,74,CE
15NG1A0133,1-2 SEM,R13202,MATHEMATICS-III,27,43,70,CE
15NG1A0133,1-2 SEM,R13203,ENGG. PHYSICS,25,0,25,CE
15NG1A0133,1-2 SEM,R13207,MATHEMATICS-II (MM),27,39,66,CE
15NG1A0133,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,30,54,CE
15NG1A0133,1-2 SEM,R13209,ENGG. DRAWING,26,24,50,CE
15NG1A0133,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,46,69,CE
15NG1A0133,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,23,47,70,CE
15NG1A0133,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0134,1-2 SEM,R13201,ENGLISH-II,23,30,53,CE
15NG1A0134,1-2 SEM,R13202,MATHEMATICS-III,20,16,36,CE
15NG1A0134,1-2 SEM,R13203,ENGG. PHYSICS,20,8,28,CE
15NG1A0134,1-2 SEM,R13207,MATHEMATICS-II (MM),20,28,48,CE
15NG1A0134,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,18,47,65,CE
15NG1A0134,1-2 SEM,R13209,ENGG. DRAWING,25,4,29,CE
15NG1A0134,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,46,71,CE
15NG1A0134,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,21,42,63,CE
15NG1A0134,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0135,1-2 SEM,R13201,ENGLISH-II,21,42,63,CE
15NG1A0135,1-2 SEM,R13202,MATHEMATICS-III,18,-1,17,CE
15NG1A0135,1-2 SEM,R13203,ENGG. PHYSICS,17,6,23,CE
15NG1A0135,1-2 SEM,R13207,MATHEMATICS-II (MM),20,27,47,CE
15NG1A0135,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,14,34,CE
15NG1A0135,1-2 SEM,R13209,ENGG. DRAWING,19,-1,18,CE
15NG1A0135,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,46,70,CE
15NG1A0135,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,17,35,52,CE
15NG1A0135,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0136,1-2 SEM,R13201,ENGLISH-II,29,43,72,CE
15NG1A0136,1-2 SEM,R13202,MATHEMATICS-III,23,29,52,CE
15NG1A0136,1-2 SEM,R13203,ENGG. PHYSICS,24,41,65,CE
15NG1A0136,1-2 SEM,R13207,MATHEMATICS-II (MM),26,45,71,CE
15NG1A0136,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,31,55,CE
15NG1A0136,1-2 SEM,R13209,ENGG. DRAWING,30,24,54,CE
